Series_Title,Released_Year,Certificate,Runtime (min),Genre,IMDB_Rating,Meta_score,Director,Gross
Bajrangi Bhaijaan,2015,UA,163,Action ,8,,Kabir Khan,"8,178,001"
Baby,2015,UA,159,Action ,8,,Neeraj Pandey,
La La Land,2016,A,128,Comedy ,8,94,Damien Chazelle,"151,101,803"
Lion,2016,U,118,Biography ,8,69,Garth Davis,"51,739,495"
The Martian,2015,UA,144,Adventure ,8,80,Ridley Scott,"228,433,663"
Zootopia,2016,U,108,Animation ,8,78,Byron Howard,"341,268,248"
Bãhubali: The Beginning,2015,UA,159,Action ,8,,S.S. Rajamouli,"6,738,000"
Kaguyahime no monogatari,2013,U,137,Animation ,8,89,Isao Takahata,"1,506,975"
Wonder,2017,U,113,Drama ,8,66,Stephen Chbosky,"132,422,809"
Gully Boy,2019,UA,154,Drama ,8,65,Zoya Akhtar,"5,566,534"
Special Chabbis,2013,UA,144,Crime ,8,,Neeraj Pandey,"1,079,369"
Short Term 12,2013,R,96,Drama,8,82,Destin Daniel Cretton,"1,010,414"
Serbuan maut 2: Berandal,2014,A,150,Action ,8,71,Gareth Evans,"2,625,803"
The Imitation Game,2014,UA,114,Biography ,8,73,Morten Tyldum,"91,125,683"
Guardians of the Galaxy,2014,UA,121,Action ,8,76,James Gunn,"333,176,600"
Blade Runner 2049,2017,UA,164,Action ,8,81,Denis Villeneuve,"92,054,159"
Her,2013,A,126,Drama ,8,90,Spike Jonze,"25,568,251"
Bohemian Rhapsody,2018,UA,134,Biography ,8,49,Bryan Singer,"216,428,042"
The Revenant,2015,A,156,Action ,8,76,Alejandro G. Iñárritu,"183,637,894"
The Perks of Being a Wallflower,2012,UA,103,Drama ,8,67,Stephen Chbosky,"17,738,570"
Tropa de Elite 2: O Inimigo Agora é Outro,2010,,115,Action ,8,71,José Padilha,"100,119"
The King's Speech,2010,U,118,Biography ,8,88,Tom Hooper,"138,797,449"
The Help,2011,UA,146,Drama,8,62,Tate Taylor,"169,708,112"
Deadpool,2016,R,108,Action ,8,65,Tim Miller,"363,070,709"
Darbareye Elly,2009,TV-PG,119,Drama ,8,87,Asghar Farhadi,"106,662"
Dev.D,2009,A,144,Drama ,8,,Anurag Kashyap,"10,950"
Yip Man,2008,R,106,Action ,8,59,Wilson Yip,
My Name Is Khan,2010,UA,165,Drama,8,50,Karan Johar,"4,018,695"
Nefes: Vatan Sagolsun,2009,,128,Action ,8,,Levent Semerci,
Slumdog Millionaire,2008,UA,120,Drama ,8,84,Danny Boyle,"141,319,928"
Black Swan,2010,A,108,Drama ,8,79,Darren Aronofsky,"106,954,678"
Tropa de Elite,2007,R,115,Action ,8,33,José Padilha,"8,060"
The Avengers,2012,UA,143,Action ,8,69,Joss Whedon,"623,279,547"
Persepolis,2007,PG-13,96,Animation ,8,90,Vincent Paronnaud,"4,445,756"
Dallas Buyers Club,2013,R,117,Biography ,8,80,Jean-Marc Vallée,"27,298,285"
The Pursuit of Happyness,2006,U,117,Biography ,8,64,Gabriele Muccino,"163,566,459"
Blood Diamond,2006,A,143,Adventure ,8,64,Edward Zwick,"57,366,262"
The Bourne Ultimatum,2007,UA,115,Action ,8,85,Paul Greengrass,"227,471,070"
Bin-jip,2004,U,88,Crime ,8,72,Ki-duk Kim,"238,507"
Sin City,2005,A,124,Crime ,8,74,Frank Miller,"74,103,820"
Le scaphandre et le papillon,2007,PG-13,112,Biography ,8,92,Julian Schnabel,"5,990,075"
G.O.R.A.,2004,,127,Adventure ,8,,Ömer Faruk Sorak,
Ratatouille,2007,U,111,Animation ,8,96,Brad Bird,"206,445,654"
Casino Royale,2006,PG-13,144,Action ,8,80,Martin Campbell,"167,445,960"
Kill Bill: Vol. 2,2004,A,137,Action ,8,83,Quentin Tarantino,"66,208,183"
Vozvrashchenie,2003,,110,Drama,8,82,Andrey Zvyagintsev,"502,028"
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,R,103,Drama ,8,85,Ki-duk Kim,"2,380,788"
Mar adentro,2014,U,126,Biography ,8,74,Alejandro Amenábar,"2,086,345"
Cinderella Man,2005,UA,144,Biography ,8,69,Ron Howard,"61,649,911"
Kal Ho Naa Ho,2003,U,186,Comedy ,8,54,Nikkhil Advani,"1,787,378"
Mou gaan dou,2002,UA,101,Action ,8,75,Andrew Lau,"169,659"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,UA,143,Action ,8,63,Gore Verbinski,"305,413,918"
Big Fish,2003,U,125,Adventure ,8,58,Tim Burton,"66,257,002"
The Incredibles,2004,U,115,Animation ,8,90,Brad Bird,"261,441,092"
Yeopgijeogin geunyeo,2001,,137,Comedy ,8,,Jae-young Kwak,
Dogville,2003,R,178,Crime ,8,60,Lars von Trier,"1,530,386"
Vizontele,2001,,110,Comedy ,8,,Yilmaz Erdogan,
Donnie Darko,2001,R,113,Drama ,8,88,Richard Kelly,"1,480,006"
Magnolia,1999,R,188,Drama,8,77,Paul Thomas Anderson,"22,455,976"
Dancer in the Dark,2000,U,140,Crime ,8,61,Lars von Trier,"4,184,036"
The Straight Story,1999,U,112,Biography ,8,86,David Lynch,"6,203,044"
Pâfekuto burû,1997,A,81,Animation ,8,,Satoshi Kon,"776,665"
Festen,1998,R,105,Drama,8,82,Thomas Vinterberg,"1,647,780"
Central do Brasil,1998,R,110,Drama,8,80,Walter Salles,"5,595,428"
The Iron Giant,1999,PG,86,Animation ,8,85,Brad Bird,"23,159,305"
Knockin' on Heaven's Door,1997,,87,Action ,8,,Thomas Jahn,"3,296"
Sling Blade,1996,R,135,Drama,8,84,Billy Bob Thornton,"24,475,416"
Secrets & Lies,1996,U,136,Comedy ,8,91,Mike Leigh,"13,417,292"
Twelve Monkeys,1995,A,129,Mystery ,8,74,Terry Gilliam,"57,141,459"
Kôkaku Kidôtai,1995,UA,83,Animation ,8,76,Mamoru Oshii,"515,905"
The Nightmare Before Christmas,1993,U,76,Animation ,8,82,Henry Selick,"75,082,668"
Groundhog Day,1993,U,101,Comedy ,8,72,Harold Ramis,"70,906,973"
Bound by Honor,1993,R,180,Crime ,8,47,Taylor Hackford,"4,496,583"
Scent of a Woman,1992,UA,156,Drama,8,59,Martin Brest,"63,895,607"
Aladdin,1992,U,90,Animation ,8,86,Ron Clements,"217,350,219"
JFK,1991,UA,189,Drama ,8,72,Oliver Stone,"70,405,498"
Beauty and the Beast,1991,G,84,Animation ,8,95,Gary Trousdale,"218,967,620"
Dances with Wolves,1990,U,181,Adventure ,8,72,Kevin Costner,"184,208,848"
Do the Right Thing,1989,R,120,Comedy ,8,93,Spike Lee,"27,545,445"
Rain Man,1988,U,133,Drama,8,65,Barry Levinson,"178,800,000"
Akira,1988,UA,124,Animation ,8,,Katsuhiro Ôtomo,"553,171"
The Princess Bride,1987,U,98,Adventure ,8,77,Rob Reiner,"30,857,814"
Der Himmel über Berlin,1987,U,128,Drama ,8,79,Wim Wenders,"3,333,969"
Au revoir les enfants,1987,U,104,Drama ,8,88,Louis Malle,"4,542,825"
Tenkû no shiro Rapyuta,1986,U,125,Animation ,8,78,Hayao Miyazaki,
The Terminator,1984,UA,107,Action ,8,84,James Cameron,"38,400,000"
Gandhi,1982,U,191,Biography ,8,79,Richard Attenborough,"52,767,889"
Kagemusha,1980,U,180,Drama ,8,84,Akira Kurosawa,
Being There,1979,PG,130,Comedy ,8,83,Hal Ashby,"30,177,511"
Annie Hall,1977,A,93,Comedy ,8,92,Woody Allen,"39,200,000"
Jaws,1975,A,124,Adventure ,8,87,Steven Spielberg,"260,000,000"
Dog Day Afternoon,1975,U,125,Biography ,8,86,Sidney Lumet,"50,000,000"
Young Frankenstein,1974,A,106,Comedy,8,80,Mel Brooks,"86,300,000"
Papillon,1973,R,151,Biography ,8,58,Franklin J. Schaffner,"53,267,000"
The Exorcist,1973,A,122,Horror,8,81,William Friedkin,"232,906,145"
Sleuth,1972,PG,138,Mystery ,8,,Joseph L. Mankiewicz,"4,081,254"
The Last Picture Show,1971,R,118,Drama ,8,93,Peter Bogdanovich,"29,133,000"
Fiddler on the Roof,1971,G,181,Drama ,8,67,Norman Jewison,"80,500,000"
Il conformista,1970,UA,113,Drama,8,100,Bernardo Bertolucci,"541,940"
Butch Cassidy and the Sundance Kid,1969,PG,110,Biography ,8,66,George Roy Hill,"102,308,889"
Rosemary's Baby,1968,A,137,Drama ,8,96,Roman Polanski,
Planet of the Apes,1968,U,112,Adventure ,8,79,Franklin J. Schaffner,"33,395,426"
The Graduate,1967,A,106,Comedy ,8,83,Mike Nichols,"104,945,305"
Who's Afraid of Virginia Woolf?,1966,A,131,Drama,8,75,Mike Nichols,
The Sound of Music,1965,U,172,Biography ,8,63,Robert Wise,"163,214,286"
Doctor Zhivago,1965,A,197,Drama ,8,69,David Lean,"111,722,000"
Per un pugno di dollari,1964,A,99,Action ,8,65,Sergio Leone,"14,500,000"
8½,1963,,138,Drama,8,91,Federico Fellini,"50,690"
Vivre sa vie: Film en douze tableaux,1962,,80,Drama,8,,Jean-Luc Godard,
The Hustler,1961,A,134,Drama ,8,90,Robert Rossen,"8,284,000"
La dolce vita,1960,A,174,Comedy ,8,95,Federico Fellini,"19,516,000"
Rio Bravo,1959,Passed,141,Action ,8,93,Howard Hawks,"12,535,000"
Anatomy of a Murder,1959,,161,Crime ,8,95,Otto Preminger,"11,900,000"
Touch of Evil,1958,PG-13,95,Crime ,8,99,Orson Welles,"2,237,659"
Cat on a Hot Tin Roof,1958,A,108,Drama,8,84,Richard Brooks,"17,570,324"
Sweet Smell of Success,1957,Approved,96,Drama ,8,100,Alexander Mackendrick,
The Killing,1956,Approved,84,Crime ,8,91,Stanley Kubrick,
The Night of the Hunter,1955,,92,Crime ,8,99,Charles Laughton,"654,000"
La Strada,1954,,108,Drama,8,,Federico Fellini,
Les diaboliques,1955,,117,Crime ,8,,Henri-Georges Clouzot,
Stalag 17,1953,,120,Comedy ,8,84,Billy Wilder,
Roman Holiday,1953,,118,Comedy ,8,78,William Wyler,
A Streetcar Named Desire,1951,A,122,Drama,8,97,Elia Kazan,"8,000,000"
In a Lonely Place,1950,,94,Drama ,8,,Nicholas Ray,
Kind Hearts and Coronets,1949,U,106,Comedy ,8,,Robert Hamer,
Rope,1948,A,80,Crime ,8,73,Alfred Hitchcock,
Out of the Past,1947,,97,Crime ,8,,Jacques Tourneur,
Brief Encounter,1945,U,86,Drama ,8,92,David Lean,
Laura,1944,Passed,88,Drama ,8,,Otto Preminger,"4,360,000"
The Best Years of Our Lives,1946,Approved,170,Drama ,8,93,William Wyler,"23,650,000"
Arsenic and Old Lace,1942,,118,Comedy ,8,,Frank Capra,
The Maltese Falcon,1941,,100,Film-Noir ,8,96,John Huston,"2,108,060"
The Grapes of Wrath,1940,Passed,129,Drama ,8,96,John Ford,"55,000"
The Wizard of Oz,1939,U,102,Adventure ,8,92,Victor Fleming,"2,076,020"
La règle du jeu,1939,,110,Comedy ,8,,Jean Renoir,
The Thin Man,1934,TV-PG,91,Comedy ,8,86,W.S. Van Dyke,
All Quiet on the Western Front,1930,U,152,Drama ,8,91,Lewis Milestone,"3,270,000"
Bronenosets Potemkin,1925,,75,Drama ,8,97,Sergei M. Eisenstein,"50,970"
Knives Out,2019,UA,130,Comedy ,7.9,82,Rian Johnson,"165,359,751"
Dil Bechara,2020,UA,101,Comedy ,7.9,,Mukesh Chhabra,
Manbiki kazoku,2018,A,121,Crime ,7.9,93,Hirokazu Koreeda,"3,313,513"
Marriage Story,2019,U,137,Comedy ,7.9,94,Noah Baumbach,"2,000,000"
Call Me by Your Name,2017,UA,132,Drama ,7.9,93,Luca Guadagnino,"18,095,701"
I ,2016,UA,100,Drama,7.9,78,Ken Loach,"258,168"
Isle of Dogs,2018,U,101,Animation ,7.9,82,Wes Anderson,"32,015,231"
Hunt for the Wilderpeople,2016,UA,101,Adventure ,7.9,81,Taika Waititi,"5,202,582"
Captain Fantastic,2016,R,118,Comedy ,7.9,72,Matt Ross,"5,875,006"
Sing Street,2016,PG-13,106,Comedy ,7.9,79,John Carney,"3,237,118"
Thor: Ragnarok,2017,UA,130,Action ,7.9,74,Taika Waititi,"315,058,289"
Nightcrawler,2014,A,117,Crime ,7.9,76,Dan Gilroy,"32,381,218"
Jojo Rabbit,2019,UA,108,Comedy ,7.9,58,Taika Waititi,"349,555"
Arrival,2016,UA,116,Drama ,7.9,81,Denis Villeneuve,"100,546,139"
Star Wars: Episode VII - The Force Awakens,2015,U,138,Action ,7.9,80,J.J. Abrams,"936,662,225"
Before Midnight,2013,R,109,Drama ,7.9,94,Richard Linklater,"8,114,627"
X-Men: Days of Future Past,2014,UA,132,Action ,7.9,75,Bryan Singer,"233,921,534"
Bir Zamanlar Anadolu'da,2011,,157,Crime ,7.9,82,Nuri Bilge Ceylan,"138,730"
The Artist,2011,U,100,Comedy ,7.9,89,Michel Hazanavicius,"44,671,682"
Edge of Tomorrow,2014,UA,113,Action ,7.9,71,Doug Liman,"100,206,256"
Amour,2012,UA,127,Drama ,7.9,94,Michael Haneke,"6,739,492"
The Irishman,2019,R,209,Biography ,7.9,94,Martin Scorsese,"7,000,000"
Un prophète,2009,A,155,Crime ,7.9,90,Jacques Audiard,"2,084,637"
Moon,2009,R,97,Drama ,7.9,67,Duncan Jones,"5,009,677"
Låt den rätte komma in,2008,R,114,Crime ,7.9,82,Tomas Alfredson,"2,122,065"
District 9,2009,A,112,Action ,7.9,81,Neill Blomkamp,"115,646,235"
The Wrestler,2008,UA,109,Drama ,7.9,80,Darren Aronofsky,"26,236,603"
Jab We Met,2007,U,138,Comedy ,7.9,,Imtiaz Ali,"410,800"
Boyhood,2014,A,165,Drama,7.9,100,Richard Linklater,"25,379,975"
4 luni ,2007,,113,Drama,7.9,97,Cristian Mungiu,"1,185,783"
Star Trek,2009,UA,127,Action ,7.9,82,J.J. Abrams,"257,730,019"
In Bruges,2008,R,107,Comedy ,7.9,67,Martin McDonagh,"7,757,130"
The Man from Earth,2007,,87,Drama ,7.9,,Richard Schenkman,
Letters from Iwo Jima,2006,UA,141,Action ,7.9,89,Clint Eastwood,"13,756,082"
The Fall,2006,R,117,Adventure ,7.9,64,Tarsem Singh,"2,280,348"
Life of Pi,2012,U,127,Adventure ,7.9,79,Ang Lee,"124,987,023"
Fantastic Mr. Fox,2009,PG,87,Animation ,7.9,83,Wes Anderson,"21,002,919"
C.R.A.Z.Y.,2005,,129,Comedy ,7.9,81,Jean-Marc Vallée,
Les choristes,2004,PG-13,97,Drama ,7.9,56,Christophe Barratier,"3,635,164"
Iron Man,2008,UA,126,Action ,7.9,79,Jon Favreau,"318,412,101"
Shaun of the Dead,2004,UA,99,Comedy ,7.9,76,Edgar Wright,"13,542,874"
Gegen die Wand,2004,R,121,Drama ,7.9,78,Fatih Akin,
Mystic River,2003,A,138,Crime ,7.9,84,Clint Eastwood,"90,135,191"
Harry Potter and the Prisoner of Azkaban,2004,U,142,Adventure ,7.9,82,Alfonso Cuarón,"249,358,727"
Ying xiong,2002,PG-13,120,Action ,7.9,85,Yimou Zhang,"53,710,019"
Hable con ella,2002,R,112,Drama ,7.9,86,Pedro Almodóvar,"9,284,265"
No Man's Land,2001,R,98,Comedy ,7.9,84,Danis Tanovic,"1,059,830"
Cowboy Bebop: Tengoku no tobira,2001,U,115,Animation ,7.9,61,Shin'ichirô Watanabe,"1,000,045"
The Bourne Identity,2002,UA,119,Action ,7.9,68,Doug Liman,"121,661,683"
Nueve reinas,2000,R,114,Crime ,7.9,80,Fabián Bielinsky,"1,221,261"
Children of Men,2006,A,109,Adventure ,7.9,84,Alfonso Cuarón,"35,552,383"
Almost Famous,2000,A,122,Adventure ,7.9,90,Cameron Crowe,"32,534,850"
Mulholland Dr.,2001,R,147,Drama ,7.9,85,David Lynch,"7,220,243"
Toy Story 2,1999,U,92,Animation ,7.9,88,John Lasseter,"245,852,179"
Boogie Nights,1997,R,155,Drama,7.9,85,Paul Thomas Anderson,"26,400,640"
Mimi wo sumaseba,1995,U,111,Animation ,7.9,75,Yoshifumi Kondô,
Once Were Warriors,1994,A,102,Crime ,7.9,77,Lee Tamahori,"2,201,126"
True Romance,1993,R,119,Crime ,7.9,59,Tony Scott,"12,281,500"
Trois couleurs: Bleu,1993,U,94,Drama ,7.9,85,Krzysztof Kieslowski,"1,324,974"
Jûbê ninpûchô,1993,A,94,Animation ,7.9,,Yoshiaki Kawajiri,
Carlito's Way,1993,A,144,Crime ,7.9,65,Brian De Palma,"36,948,322"
Edward Scissorhands,1990,U,105,Drama ,7.9,74,Tim Burton,"56,362,352"
My Left Foot: The Story of Christy Brown,1989,U,103,Biography ,7.9,97,Jim Sheridan,"14,743,391"
Crimes and Misdemeanors,1989,PG-13,104,Comedy ,7.9,77,Woody Allen,"18,254,702"
The Untouchables,1987,A,119,Crime ,7.9,79,Brian De Palma,"76,270,454"
Hannah and Her Sisters,1986,PG-13,107,Comedy ,7.9,90,Woody Allen,"40,084,041"
Brazil,1985,U,132,Drama ,7.9,84,Terry Gilliam,"9,929,135"
This Is Spinal Tap,1984,R,82,Comedy ,7.9,92,Rob Reiner,"188,751"
A Christmas Story,1983,U,93,Comedy ,7.9,77,Bob Clark,"20,605,209"
The Blues Brothers,1980,U,133,Action ,7.9,60,John Landis,"57,229,890"
Manhattan,1979,R,96,Comedy ,7.9,83,Woody Allen,"45,700,000"
All That Jazz,1979,A,123,Drama ,7.9,72,Bob Fosse,"37,823,676"
Dawn of the Dead,1978,A,127,Action ,7.9,71,George A. Romero,"5,100,000"
All the President's Men,1976,U,138,Biography ,7.9,84,Alan J. Pakula,"70,600,000"
La montaña sagrada,1973,R,114,Adventure ,7.9,76,Alejandro Jodorowsky,"61,001"
Amarcord,1973,R,123,Comedy ,7.9,,Federico Fellini,
Le charme discret de la bourgeoisie,1972,PG,102,Comedy,7.9,93,Luis Buñuel,"198,809"
Aguirre ,1972,,95,Action ,7.9,,Werner Herzog,
Harold and Maude,1971,PG,91,Comedy ,7.9,62,Hal Ashby,
Patton,1970,U,172,Biography ,7.9,91,Franklin J. Schaffner,"61,700,000"
The Wild Bunch,1969,A,145,Action ,7.9,97,Sam Peckinpah,"12,064,472"
Night of the Living Dead,1968,,96,Horror ,7.9,89,George A. Romero,"89,029"
The Lion in Winter,1968,PG,134,Biography ,7.9,,Anthony Harvey,"22,276,975"
In the Heat of the Night,1967,U,110,Crime ,7.9,75,Norman Jewison,"24,379,978"
Charade,1963,U,113,Comedy ,7.9,83,Stanley Donen,"13,474,588"
The Manchurian Candidate,1962,PG-13,126,Drama ,7.9,94,John Frankenheimer,
Spartacus,1960,A,197,Adventure ,7.9,87,Stanley Kubrick,"30,000,000"
L'avventura,1960,U,144,Drama ,7.9,,Michelangelo Antonioni,
Hiroshima mon amour,1959,,90,Drama ,7.9,,Alain Resnais,"88,300"
The Ten Commandments,1956,U,220,Adventure ,7.9,,Cecil B. DeMille,"93,740,000"
The Searchers,1956,Passed,119,Adventure ,7.9,94,John Ford,
East of Eden,1955,U,118,Drama,7.9,72,Elia Kazan,
High Noon,1952,PG,85,Drama ,7.9,89,Fred Zinnemann,"9,450,000"
Strangers on a Train,1951,A,101,Crime ,7.9,88,Alfred Hitchcock,"7,630,000"
Harvey,1950,Approved,104,Comedy ,7.9,,Henry Koster,
Miracle on 34th Street,1947,,96,Comedy ,7.9,88,George Seaton,"2,650,000"
Notorious,1946,U,102,Drama ,7.9,100,Alfred Hitchcock,"10,464,000"
The Big Sleep,1946,Passed,114,Crime ,7.9,,Howard Hawks,"6,540,000"
The Lost Weekend,1945,Passed,101,Drama ,7.9,,Billy Wilder,"9,460,000"
The Philadelphia Story,1940,,112,Comedy ,7.9,96,George Cukor,
His Girl Friday,1940,Passed,92,Comedy ,7.9,,Howard Hawks,"296,000"
The Adventures of Robin Hood,1938,PG,102,Action ,7.9,97,Michael Curtiz,"3,981,000"
A Night at the Opera,1935,Passed,96,Comedy ,7.9,,Sam Wood,"2,537,520"
King Kong,1933,Passed,100,Adventure ,7.9,90,Merian C. Cooper,"10,000,000"
Freaks,1932,,64,Drama ,7.9,80,Tod Browning,
Nosferatu,1922,,94,Fantasy ,7.9,,F.W. Murnau,
The Gentlemen,2019,A,113,Action ,7.8,51,Guy Ritchie,
Raazi,2018,UA,138,Action ,7.8,,Meghna Gulzar,
Sound of Metal,2019,R,120,Drama ,7.8,81,Darius Marder,
Forushande,2016,UA,124,Drama,7.8,85,Asghar Farhadi,"2,402,067"
Dunkirk,2017,UA,106,Action ,7.8,94,Christopher Nolan,"188,373,161"
Perfetti sconosciuti,2016,,96,Comedy ,7.8,,Paolo Genovese,
Hidden Figures,2016,UA,127,Biography ,7.8,74,Theodore Melfi,"169,607,287"
Paddington 2,2017,U,103,Adventure ,7.8,88,Paul King,"40,442,052"
Udta Punjab,2016,A,148,Action ,7.8,,Abhishek Chaubey,
Kubo and the Two Strings,2016,PG,101,Animation ,7.8,84,Travis Knight,"48,023,088"
M.S. Dhoni: The Untold Story,2016,U,184,Biography ,7.8,,Neeraj Pandey,"1,782,795"
Manchester by the Sea,2016,UA,137,Drama,7.8,96,Kenneth Lonergan,"47,695,120"
Under sandet,2015,R,100,Drama ,7.8,75,Martin Zandvliet,"435,266"
Rogue One,2016,UA,133,Action ,7.8,65,Gareth Edwards,"532,177,324"
Captain America: Civil War,2016,UA,147,Action ,7.8,75,Anthony Russo,"408,084,349"
The Hateful Eight,2015,A,168,Crime ,7.8,68,Quentin Tarantino,"54,117,416"
Little Women,2019,U,135,Drama ,7.8,91,Greta Gerwig,"108,101,214"
Loving Vincent,2017,UA,94,Animation ,7.8,62,Dorota Kobiela,"6,735,118"
Pride,2014,R,119,Biography ,7.8,79,Matthew Warchus,
Le passé,2013,PG-13,130,Drama ,7.8,85,Asghar Farhadi,"1,330,596"
La grande bellezza,2013,,141,Drama,7.8,86,Paolo Sorrentino,"2,852,400"
The Lunchbox,2013,U,104,Drama ,7.8,76,Ritesh Batra,"4,231,500"
Vicky Donor,2012,UA,126,Comedy ,7.8,,Shoojit Sircar,"169,209"
Big Hero 6,2014,U,102,Animation ,7.8,74,Don Hall,"222,527,828"
About Time,2013,R,123,Comedy ,7.8,55,Richard Curtis,"15,322,921"
English Vinglish,2012,U,134,Comedy ,7.8,,Gauri Shinde,"1,670,773"
Kaze tachinu,2013,PG-13,126,Animation ,7.8,83,Hayao Miyazaki,"5,209,580"
Toy Story 4,2019,U,100,Animation ,7.8,84,Josh Cooley,"434,038,008"
La migliore offerta,2013,R,131,Crime ,7.8,49,Giuseppe Tornatore,"85,433"
Moonrise Kingdom,2012,A,94,Comedy ,7.8,84,Wes Anderson,"45,512,466"
How to Train Your Dragon 2,2014,U,102,Animation ,7.8,76,Dean DeBlois,"177,002,924"
The Big Short,2015,A,130,Biography ,7.8,81,Adam McKay,"70,259,870"
Kokuhaku,2010,,106,Drama ,7.8,,Tetsuya Nakashima,
Ang-ma-reul bo-at-da,2010,,144,Action ,7.8,67,Jee-woon Kim,"128,392"
The Girl with the Dragon Tattoo,2011,R,158,Crime ,7.8,71,David Fincher,"102,515,793"
Captain Phillips,2013,UA,134,Adventure ,7.8,82,Paul Greengrass,"107,100,855"
Ajeossi,2010,R,119,Action ,7.8,,Jeong-beom Lee,"6,460"
Straight Outta Compton,2015,R,147,Biography ,7.8,72,F. Gary Gray,"161,197,785"
Madeo,2009,R,129,Crime ,7.8,79,Bong Joon Ho,"547,292"
Chugyeokja,2008,,125,Action ,7.8,64,Hong-jin Na,
The Hobbit: The Desolation of Smaug,2013,UA,161,Adventure ,7.8,66,Peter Jackson,"258,366,855"
Das weiße Band - Eine deutsche Kindergeschichte,2009,UA,144,Drama ,7.8,82,Michael Haneke,"2,222,647"
Män som hatar kvinnor,2009,R,152,Crime ,7.8,76,Niels Arden Oplev,"10,095,170"
The Trial of the Chicago 7,2020,R,129,Drama ,7.8,77,Aaron Sorkin,
Druk,2020,,117,Comedy ,7.8,81,Thomas Vinterberg,
The Fighter,2010,UA,116,Biography ,7.8,79,David O. Russell,"93,617,009"
Taken,2008,A,90,Action ,7.8,51,Pierre Morel,"145,000,989"
The Boy in the Striped Pyjamas,2008,PG-13,94,Drama ,7.8,55,Mark Herman,"9,030,581"
Once,2007,R,86,Drama ,7.8,88,John Carney,"9,439,923"
The Hobbit: An Unexpected Journey,2012,UA,169,Adventure ,7.8,58,Peter Jackson,"303,003,568"
Auf der anderen Seite,2007,,122,Drama,7.8,85,Fatih Akin,"741,283"
Atonement,2007,R,123,Drama ,7.8,85,Joe Wright,"50,927,067"
Drive,2011,A,100,Crime ,7.8,78,Nicolas Winding Refn,"35,061,555"
American Gangster,2007,A,157,Biography ,7.8,76,Ridley Scott,"130,164,645"
Avatar,2009,UA,162,Action ,7.8,83,James Cameron,"760,507,625"
Mr. Nobody,2009,R,141,Drama ,7.8,63,Jaco Van Dormael,"3,600"
Apocalypto,2006,A,139,Action ,7.8,68,Mel Gibson,"50,866,635"
Little Miss Sunshine,2006,UA,101,Comedy ,7.8,80,Jonathan Dayton,"59,891,098"
Hot Fuzz,2007,UA,121,Action ,7.8,81,Edgar Wright,"23,637,265"
The Curious Case of Benjamin Button,2008,UA,166,Drama ,7.8,70,David Fincher,"127,509,326"
Veer-Zaara,2004,U,192,Drama ,7.8,67,Yash Chopra,"2,921,738"
Adams æbler,2005,R,94,Comedy ,7.8,51,Anders Thomas Jensen,"1,305"
Pride & Prejudice,2005,PG,129,Drama ,7.8,82,Joe Wright,"38,405,088"
The World's Fastest Indian,2005,U,127,Biography ,7.8,68,Roger Donaldson,"5,128,124"
Tôkyô goddofâzâzu,2003,UA,90,Animation ,7.8,73,Satoshi Kon,"128,985"
Serenity,2005,PG-13,119,Action ,7.8,74,Joss Whedon,"25,514,517"
Walk the Line,2005,PG-13,136,Biography ,7.8,72,James Mangold,"119,519,402"
Ondskan,2003,,113,Drama,7.8,61,Mikael Håfström,"15,280"
The Notebook,2004,A,123,Drama ,7.8,53,Nick Cassavetes,"81,001,787"
Diarios de motocicleta,2004,U,126,Adventure ,7.8,75,Walter Salles,"16,756,372"
Lilja 4-ever,2002,R,109,Crime ,7.8,82,Lukas Moodysson,"181,655"
Les triplettes de Belleville,2003,PG-13,80,Animation ,7.8,91,Sylvain Chomet,"7,002,255"
Gongdong gyeongbi guyeok JSA,2000,,110,Action ,7.8,58,Chan-wook Park,
The Count of Monte Cristo,2002,PG-13,131,Action ,7.8,61,Kevin Reynolds,"54,234,062"
Waking Life,2001,R,99,Animation ,7.8,83,Richard Linklater,"2,892,011"
Remember the Titans,2000,U,113,Biography ,7.8,48,Boaz Yakin,"115,654,751"
Wo hu cang long,2000,UA,120,Action ,7.8,94,Ang Lee,"128,078,872"
Todo sobre mi madre,1999,R,101,Drama,7.8,87,Pedro Almodóvar,"8,264,530"
Cast Away,2000,UA,143,Adventure ,7.8,73,Robert Zemeckis,"233,632,142"
The Boondock Saints,1999,R,108,Action ,7.8,44,Troy Duffy,"25,812"
The Insider,1999,UA,157,Biography ,7.8,84,Michael Mann,"28,965,197"
October Sky,1999,PG,108,Biography ,7.8,71,Joe Johnston,"32,481,825"
Shrek,2001,U,90,Animation ,7.8,84,Andrew Adamson,"267,665,011"
Titanic,1997,UA,194,Drama ,7.8,75,James Cameron,"659,325,379"
Hana-bi,1997,,103,Crime ,7.8,,Takeshi Kitano,"233,986"
Gattaca,1997,UA,106,Drama ,7.8,64,Andrew Niccol,"12,339,633"
The Game,1997,UA,129,Action ,7.8,61,David Fincher,"48,323,648"
Breaking the Waves,1996,R,159,Drama,7.8,76,Lars von Trier,"4,040,691"
Ed Wood,1994,U,127,Biography ,7.8,70,Tim Burton,"5,887,457"
What's Eating Gilbert Grape,1993,U,118,Drama,7.8,73,Lasse Hallström,"9,170,214"
