Series_Title,Released_Year,Certificate,Runtime (min),Genre,IMDB_Rating,Meta_score,Director,Gross
The Shining,1980,A,146,Drama ,8.4,66,Stanley Kubrick,"44,017,374"
Apocalypse Now,1979,R,147,Drama ,8.4,94,Francis Ford Coppola,"83,471,511"
Alien,1979,R,117,Horror ,8.4,89,Ridley Scott,"78,900,000"
Anand,1971,U,122,Drama ,8.4,,Hrishikesh Mukherjee,
Tengoku to jigoku,1963,,143,Crime ,8.4,,Akira Kurosawa,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,A,95,Comedy,8.4,97,Stanley Kubrick,"275,902"
Witness for the Prosecution,1957,U,116,Crime ,8.4,,Billy Wilder,"8,175,000"
Paths of Glory,1957,A,88,Drama ,8.4,90,Stanley Kubrick,
Rear Window,1954,U,112,Mystery ,8.4,100,Alfred Hitchcock,"36,764,313"
Sunset Blvd.,1950,Passed,110,Drama ,8.4,,Billy Wilder,
The Great Dictator,1940,Passed,125,Comedy ,8.4,,Charles Chaplin,"288,475"
1917,2019,R,119,Drama ,8.3,78,Sam Mendes,"159,227,644"
Tumbbad,2018,A,104,Drama ,8.3,,Rahi Anil Barve,
Andhadhun,2018,UA,139,Crime ,8.3,,Sriram Raghavan,"1,373,943"
Drishyam,2013,U,160,Crime ,8.3,,Jeethu Joseph,
Jagten,2012,R,115,Drama,8.3,77,Thomas Vinterberg,"687,185"
Jodaeiye Nader az Simin,2011,PG-13,123,Drama,8.3,95,Asghar Farhadi,"7,098,492"
Incendies,2010,R,131,Drama ,8.3,80,Denis Villeneuve,"6,857,096"
Miracle in cell NO.7,2019,TV-14,132,Drama,8.3,,Mehmet Ada Öztekin,
Babam ve Oglum,2005,,112,Drama ,8.3,,Çagan Irmak,
Inglourious Basterds,2009,A,153,Adventure ,8.3,69,Quentin Tarantino,"120,540,719"
Eternal Sunshine of the Spotless Mind,2004,UA,108,Drama ,8.3,89,Michel Gondry,"34,400,301"
Amélie,2001,U,122,Comedy ,8.3,69,Jean-Pierre Jeunet,"33,225,499"
Snatch,2000,UA,104,Comedy ,8.3,55,Guy Ritchie,"30,328,156"
Requiem for a Dream,2000,A,102,Drama,8.3,68,Darren Aronofsky,"3,635,482"
American Beauty,1999,UA,122,Drama,8.3,84,Sam Mendes,"130,096,601"
Good Will Hunting,1997,U,126,Drama ,8.3,70,Gus Van Sant,"138,433,435"
Bacheha-Ye aseman,1997,PG,89,Drama ,8.3,77,Majid Majidi,"933,933"
Toy Story,1995,U,81,Animation ,8.3,95,John Lasseter,"191,796,233"
Braveheart,1995,A,178,Biography ,8.3,68,Mel Gibson,"75,600,000"
Reservoir Dogs,1992,R,99,Crime ,8.3,79,Quentin Tarantino,"2,832,029"
Full Metal Jacket,1987,UA,116,Drama ,8.3,76,Stanley Kubrick,"46,357,676"
Idi i smotri,1985,A,142,Drama ,8.3,,Elem Klimov,
Aliens,1986,U,137,Action ,8.3,84,James Cameron,"85,160,248"
Amadeus,1984,R,160,Biography ,8.3,88,Milos Forman,"51,973,029"
Scarface,1983,A,170,Crime ,8.3,65,Brian De Palma,"45,598,982"
Star Wars: Episode VI - Return of the Jedi,1983,U,131,Action ,8.3,58,Richard Marquand,"309,125,409"
Das Boot,1981,R,149,Adventure ,8.3,86,Wolfgang Petersen,"11,487,676"
Taxi Driver,1976,A,114,Crime ,8.3,94,Martin Scorsese,"28,262,574"
The Sting,1973,U,129,Comedy ,8.3,83,George Roy Hill,"159,600,000"
A Clockwork Orange,1971,A,136,Crime ,8.3,77,Stanley Kubrick,"6,207,725"
2001: A Space Odyssey,1968,U,149,Adventure ,8.3,84,Stanley Kubrick,"56,954,992"
Per qualche dollaro in più,1965,U,132,Western,8.3,74,Sergio Leone,"15,000,000"
Lawrence of Arabia,1962,U,228,Adventure ,8.3,100,David Lean,"44,824,144"
The Apartment,1960,U,125,Comedy ,8.3,94,Billy Wilder,"18,600,000"
North by Northwest,1959,U,136,Adventure ,8.3,98,Alfred Hitchcock,"13,275,000"
Vertigo,1958,A,128,Mystery ,8.3,100,Alfred Hitchcock,"3,200,000"
Singin' in the Rain,1952,G,103,Comedy ,8.3,99,Stanley Donen,"8,819,028"
Ikiru,1952,,143,Drama,8.3,,Akira Kurosawa,"55,240"
Ladri di biciclette,1948,,89,Drama,8.3,,Vittorio De Sica,"332,930"
Double Indemnity,1944,Passed,107,Crime ,8.3,95,Billy Wilder,"5,720,000"
Citizen Kane,1941,UA,119,Drama ,8.3,100,Orson Welles,"1,585,634"
M - Eine Stadt sucht einen Mörder,1931,Passed,117,Crime ,8.3,,Fritz Lang,"28,877"
Metropolis,1927,,153,Drama ,8.3,98,Fritz Lang,"1,236,166"
The Kid,1921,Passed,68,Comedy ,8.3,,Charles Chaplin,"5,450,000"
Chhichhore,2019,UA,143,Comedy ,8.2,,Nitesh Tiwari,"898,575"
Uri: The Surgical Strike,2018,UA,138,Action ,8.2,,Aditya Dhar,"4,186,168"
K.G.F: Chapter 1,2018,UA,156,Action ,8.2,,Prashanth Neel,
Green Book,2018,UA,130,Biography ,8.2,69,Peter Farrelly,"85,080,171"
Three Billboards Outside Ebbing ,2017,A,115,Comedy ,8.2,88,Martin McDonagh,"54,513,740"
Talvar,2015,UA,132,Crime ,8.2,,Meghna Gulzar,"342,370"
Baahubali 2: The Conclusion,2017,UA,167,Action ,8.2,,S.S. Rajamouli,"20,186,659"
Klaus,2019,PG,96,Animation ,8.2,65,Sergio Pablos,
Drishyam,2015,UA,163,Crime ,8.2,,Nishikant Kamat,"739,478"
Queen,2013,UA,146,Adventure ,8.2,,Vikas Bahl,"1,429,534"
Mandariinid,2013,,87,Drama ,8.2,73,Zaza Urushadze,"144,501"
Bhaag Milkha Bhaag,2013,U,186,Biography ,8.2,,Rakeysh Omprakash Mehra,"1,626,289"
Gangs of Wasseypur,2012,A,321,Action ,8.2,89,Anurag Kashyap,
Udaan,2010,UA,134,Drama,8.2,,Vikramaditya Motwane,"7,461"
Paan Singh Tomar,2012,UA,135,Action ,8.2,,Tigmanshu Dhulia,"39,567"
El secreto de sus ojos,2009,R,129,Drama ,8.2,80,Juan José Campanella,"6,391,436"
Warrior,2011,UA,140,Action ,8.2,71,Gavin O'Connor,"13,657,115"
Shutter Island,2010,A,138,Mystery ,8.2,63,Martin Scorsese,"128,012,934"
Up,2009,U,96,Animation ,8.2,88,Pete Docter,"293,004,164"
The Wolf of Wall Street,2013,A,180,Biography ,8.2,75,Martin Scorsese,"116,900,694"
Chak De! India,2007,U,153,Drama ,8.2,68,Shimit Amin,"1,113,541"
There Will Be Blood,2007,A,158,Drama,8.2,93,Paul Thomas Anderson,"40,222,514"
Pan's Labyrinth,2006,UA,118,Drama ,8.2,98,Guillermo del Toro,"37,634,615"
Toy Story 3,2010,U,103,Animation ,8.2,92,Lee Unkrich,"415,004,880"
V for Vendetta,2005,A,132,Action ,8.2,62,James McTeigue,"70,511,035"
Rang De Basanti,2006,UA,167,Comedy ,8.2,,Rakeysh Omprakash Mehra,"2,197,331"
Black,2005,U,122,Drama,8.2,,Sanjay Leela Bhansali,"733,094"
Batman Begins,2005,UA,140,Action ,8.2,70,Christopher Nolan,"206,852,432"
Swades: We ,2004,U,210,Drama,8.2,,Ashutosh Gowariker,"1,223,240"
Der Untergang,2004,R,156,Biography ,8.2,82,Oliver Hirschbiegel,"5,509,040"
Hauru no ugoku shiro,2004,U,119,Animation ,8.2,80,Hayao Miyazaki,"4,711,096"
A Beautiful Mind,2001,UA,135,Biography ,8.2,72,Ron Howard,"170,742,341"
Hera Pheri,2000,U,156,Action ,8.2,,Priyadarshan,
Lock ,1998,A,107,Action ,8.2,66,Guy Ritchie,"3,897,569"
L.A. Confidential,1997,A,138,Crime ,8.2,90,Curtis Hanson,"64,616,940"
Eskiya,1996,,128,Crime ,8.2,,Yavuz Turgul,
Heat,1995,A,170,Crime ,8.2,76,Michael Mann,"67,436,818"
Casino,1995,A,178,Crime ,8.2,73,Martin Scorsese,"42,438,300"
Andaz Apna Apna,1994,U,160,Action ,8.2,,Rajkumar Santoshi,
Unforgiven,1992,A,130,Drama ,8.2,85,Clint Eastwood,"101,157,447"
Indiana Jones and the Last Crusade,1989,U,127,Action ,8.2,65,Steven Spielberg,"197,171,806"
Dom za vesanje,1988,R,142,Comedy ,8.2,,Emir Kusturica,"280,015"
Tonari no Totoro,1988,U,86,Animation ,8.2,86,Hayao Miyazaki,"1,105,564"
Die Hard,1988,A,132,Action ,8.2,72,John McTiernan,"83,008,852"
Ran,1985,U,162,Action ,8.2,96,Akira Kurosawa,"4,135,750"
Raging Bull,1980,A,129,Biography ,8.2,89,Martin Scorsese,"23,383,987"
Stalker,1979,U,162,Drama ,8.2,,Andrei Tarkovsky,"234,723"
Höstsonaten,1978,U,99,Drama ,8.2,,Ingmar Bergman,
The Message,1976,PG,177,Biography ,8.2,,Moustapha Akkad,
Sholay,1975,U,204,Action ,8.2,,Ramesh Sippy,
Monty Python and the Holy Grail,1975,PG,91,Adventure ,8.2,91,Terry Gilliam,"1,229,197"
The Great Escape,1963,U,172,Adventure ,8.2,86,John Sturges,"12,100,000"
To Kill a Mockingbird,1962,U,129,Crime ,8.2,88,Robert Mulligan,
Yôjinbô,1961,,110,Action ,8.2,,Akira Kurosawa,
Judgment at Nuremberg,1961,A,179,Drama ,8.2,60,Stanley Kramer,
Some Like It Hot,1959,U,121,Comedy ,8.2,98,Billy Wilder,"25,000,000"
Smultronstället,1957,U,91,Drama ,8.2,88,Ingmar Bergman,
Det sjunde inseglet,1957,A,96,Drama ,8.2,88,Ingmar Bergman,
Du rififi chez les hommes,1955,,118,Crime ,8.2,97,Jules Dassin,"57,226"
Dial M for Murder,1954,A,105,Crime ,8.2,75,Alfred Hitchcock,"12,562"
Tôkyô monogatari,1953,U,136,Drama,8.2,,Yasujirô Ozu,
Rashômon,1950,,88,Crime ,8.2,98,Akira Kurosawa,"96,568"
All About Eve,1950,Passed,138,Drama,8.2,98,Joseph L. Mankiewicz,"10,177"
The Treasure of the Sierra Madre,1948,Passed,126,Adventure ,8.2,98,John Huston,"5,014,000"
To Be or Not to Be,1942,Passed,99,Comedy ,8.2,86,Ernst Lubitsch,
The Gold Rush,1925,Passed,95,Adventure ,8.2,,Charles Chaplin,"5,450,000"
Sherlock Jr.,1924,Passed,45,Action ,8.2,,Buster Keaton,"977,375"
Portrait de la jeune fille en feu,2019,R,122,Drama ,8.1,95,Céline Sciamma,"3,759,854"
Pink,2016,UA,136,Drama ,8.1,,Aniruddha Roy Chowdhury,"1,241,223"
Koe no katachi,2016,16,130,Animation ,8.1,78,Naoko Yamada,
Contratiempo,2016,TV-MA,106,Crime ,8.1,,Oriol Paulo,
Ah-ga-ssi,2016,A,145,Drama ,8.1,84,Chan-wook Park,"2,006,788"
Mommy,2014,R,139,Drama,8.1,74,Xavier Dolan,"3,492,754"
Haider,2014,UA,160,Action ,8.1,,Vishal Bhardwaj,"901,610"
Logan,2017,A,137,Action ,8.1,77,James Mangold,"226,277,068"
Room,2015,R,118,Drama ,8.1,86,Lenny Abrahamson,"14,677,674"
Relatos salvajes,2014,R,122,Comedy ,8.1,77,Damián Szifron,"3,107,072"
Soul,2020,U,100,Animation ,8.1,83,Pete Docter,
Kis Uykusu,2014,,196,Drama,8.1,88,Nuri Bilge Ceylan,"165,520"
PK,2014,UA,153,Comedy ,8.1,,Rajkumar Hirani,"10,616,104"
OMG: Oh My God!,2012,U,125,Comedy ,8.1,,Umesh Shukla,"923,221"
The Grand Budapest Hotel,2014,UA,99,Adventure ,8.1,88,Wes Anderson,"59,100,318"
Gone Girl,2014,A,149,Drama ,8.1,79,David Fincher,"167,767,189"
Ôkami kodomo no Ame to Yuki,2012,U,117,Animation ,8.1,71,Mamoru Hosoda,
Hacksaw Ridge,2016,A,139,Biography ,8.1,71,Mel Gibson,"67,209,615"
Inside Out,2015,U,95,Animation ,8.1,94,Pete Docter,"356,461,711"
Barfi!,2012,U,151,Comedy ,8.1,,Anurag Basu,"2,804,874"
12 Years a Slave,2013,A,134,Biography ,8.1,96,Steve McQueen,"56,671,993"
Rush,2013,UA,123,Action ,8.1,74,Ron Howard,"26,947,624"
Ford v Ferrari,2019,UA,152,Action ,8.1,81,James Mangold,"117,624,028"
Spotlight,2015,A,129,Biography ,8.1,93,Tom McCarthy,"45,055,776"
Song of the Sea,2014,PG,93,Animation ,8.1,85,Tomm Moore,"857,524"
Kahaani,2012,UA,122,Mystery ,8.1,,Sujoy Ghosh,"1,035,953"
Zindagi Na Milegi Dobara,2011,U,155,Comedy ,8.1,,Zoya Akhtar,"3,108,485"
Prisoners,2013,A,153,Crime ,8.1,70,Denis Villeneuve,"61,002,302"
Mad Max: Fury Road,2015,UA,120,Action ,8.1,90,George Miller,"154,058,340"
A Wednesday,2008,UA,104,Action ,8.1,,Neeraj Pandey,
Gran Torino,2008,R,116,Drama,8.1,72,Clint Eastwood,"148,095,302"
Harry Potter and the Deathly Hallows: Part 2,2011,UA,130,Adventure ,8.1,85,David Yates,"381,011,219"
Okuribito,2008,PG-13,130,Drama ,8.1,68,Yôjirô Takita,"1,498,210"
Hachi: A Dog's Tale,2009,G,93,Biography ,8.1,,Lasse Hallström,
Mary and Max,2009,,92,Animation ,8.1,,Adam Elliot,
How to Train Your Dragon,2010,U,98,Animation ,8.1,75,Dean DeBlois,"217,581,231"
Into the Wild,2007,R,148,Adventure ,8.1,73,Sean Penn,"18,354,356"
No Country for Old Men,2007,R,122,Crime ,8.1,91,Ethan Coen,"74,283,625"
Lage Raho Munna Bhai,2006,U,144,Comedy ,8.1,,Rajkumar Hirani,"2,217,561"
Million Dollar Baby,2004,UA,132,Drama ,8.1,86,Clint Eastwood,"100,492,203"
Hotel Rwanda,2004,PG-13,121,Biography ,8.1,79,Terry George,"23,530,892"
Taegukgi hwinalrimyeo,2004,R,140,Action ,8.1,64,Je-kyu Kang,"1,111,061"
Before Sunset,2004,R,80,Drama ,8.1,90,Richard Linklater,"5,820,649"
Munna Bhai M.B.B.S.,2003,U,156,Comedy ,8.1,,Rajkumar Hirani,
Salinui chueok,2003,UA,131,Crime ,8.1,82,Bong Joon Ho,"14,131"
Dil Chahta Hai,2001,Unrated,183,Comedy ,8.1,,Farhan Akhtar,"300,000"
Kill Bill: Vol. 1,2003,R,111,Action ,8.1,69,Quentin Tarantino,"70,099,045"
Finding Nemo,2003,U,100,Animation ,8.1,90,Andrew Stanton,"380,843,261"
Catch Me If You Can,2002,A,141,Biography ,8.1,75,Steven Spielberg,"164,615,351"
Amores perros,2000,A,154,Drama ,8.1,83,Alejandro G. Iñárritu,"5,383,834"
Monsters ,2001,U,92,Animation ,8.1,79,Pete Docter,"289,916,256"
Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo ,1997,UA,87,Animation ,8.1,,Hideaki Anno,
Lagaan: Once Upon a Time in India,2001,U,224,Adventure ,8.1,84,Ashutosh Gowariker,"70,147"
The Sixth Sense,1999,A,107,Drama ,8.1,64,M. Night Shyamalan,"293,506,292"
La leggenda del pianista sull'oceano,1998,U,169,Drama ,8.1,58,Giuseppe Tornatore,"259,127"
The Truman Show,1998,U,103,Comedy ,8.1,90,Peter Weir,"125,618,201"
Crna macka ,1998,R,127,Comedy ,8.1,73,Emir Kusturica,"348,660"
The Big Lebowski,1998,R,117,Comedy ,8.1,71,Joel Coen,"17,498,804"
Fa yeung nin wah,2000,U,98,Drama ,8.1,85,Kar-Wai Wong,"2,734,044"
Trainspotting,1996,A,93,Drama,8.1,83,Danny Boyle,"16,501,785"
Fargo,1996,A,98,Crime ,8.1,85,Joel Coen,"24,611,975"
Underground,1995,,170,Comedy ,8.1,,Emir Kusturica,"171,082"
La haine,1995,UA,98,Crime ,8.1,,Mathieu Kassovitz,"309,811"
Dilwale Dulhania Le Jayenge,1995,U,189,Drama ,8.1,,Aditya Chopra,
Before Sunrise,1995,R,101,Drama ,8.1,77,Richard Linklater,"5,535,405"
Trois couleurs: Rouge,1994,U,99,Drama ,8.1,100,Krzysztof Kieslowski,"4,043,686"
Chung Hing sam lam,1994,U,102,Comedy ,8.1,77,Kar-Wai Wong,"600,200"
Jurassic Park,1993,UA,127,Action ,8.1,68,Steven Spielberg,"402,453,882"
In the Name of the Father,1993,UA,133,Biography ,8.1,84,Jim Sheridan,"25,010,410"
Ba wang bie ji,1993,R,171,Drama ,8.1,,Kaige Chen,"5,216,888"
Dà hóng denglong gaogao guà,1991,PG,125,Drama ,8.1,,Yimou Zhang,"2,603,061"
Dead Poets Society,1989,U,128,Comedy ,8.1,79,Peter Weir,"95,860,116"
Stand by Me,1986,U,89,Adventure ,8.1,75,Rob Reiner,"52,287,414"
Platoon,1986,A,120,Drama ,8.1,92,Oliver Stone,"138,530,565"
Paris ,1984,U,145,Drama,8.1,78,Wim Wenders,"2,181,987"
Kaze no tani no Naushika,1984,U,117,Animation ,8.1,86,Hayao Miyazaki,"495,770"
The Thing,1982,A,109,Horror ,8.1,57,John Carpenter,"13,782,838"
Pink Floyd: The Wall,1982,UA,95,Drama ,8.1,47,Alan Parker,"22,244,207"
Fitzcarraldo,1982,R,158,Adventure ,8.1,,Werner Herzog,
Fanny och Alexander,1982,A,188,Drama,8.1,100,Ingmar Bergman,"4,971,340"
Blade Runner,1982,UA,117,Action ,8.1,84,Ridley Scott,"32,868,943"
The Elephant Man,1980,UA,124,Biography ,8.1,78,David Lynch,
Life of Brian,1979,R,94,Comedy,8.1,77,Terry Jones,"20,045,115"
